stable_id,display_name,faction,kind,role,footprint,source_classification,source_sets,silhouette_thesis,identity_anchors,state
unit.rock_raiders.crew,Rock Raider Crew,RockRaiders,Unit,Worker / engineer,Tiny,OFFICIAL-ADAPTED,4930,"A minifigure-scale industrial crew member led by a carried tool, not a generic infantryman.",helmet-and-visor crew profile;oversized portable mining or repair tool;compact backpack and work-light mass,FACTION_CONTRACT_DRAFT_HOLD
unit.rock_raiders.hover_scout,Hover Scout,RockRaiders,Unit,Scout / detector,Small,OFFICIAL-DIRECT,4910,A low one-person survey sled with its scanner and hover deck visible as separate masses.,flat open hover deck;forward survey scanner;exposed seated operator and tool rack,FACTION_CONTRACT_DRAFT_HOLD
unit.rock_raiders.drill_craft,Drill Craft,RockRaiders,Unit,Engineering utility,Small,OFFICIAL-ADAPTED,1277,A tiny low open hover sled whose canonical oversized forward drill is framed by the source's paired raised side lift pods.,single dominant forward drill adapted from paired source saws;flat open operator sled;paired raised round side lift pods,FACTION_CONTRACT_DRAFT_HOLD
unit.rock_raiders.rapid_rider,Rapid Rider,RockRaiders,Unit,Crew transport,Small,OFFICIAL-ADAPTED,4920,A twin-hull underground water skimmer with a clearly open cargo/passenger gap.,parallel catamaran hulls;rear propulsion pair;open central cargo and rider space,FACTION_CONTRACT_DRAFT_HOLD
unit.rock_raiders.loader_dozer,Loader Dozer,RockRaiders,Unit,Heavy utility / frontline,Medium,OFFICIAL-ADAPTED,4950,A squat four-wheel loader dominated by a broad articulated scoop.,full-width front scoop;four large industrial wheels;rear-weighted exposed frame,FACTION_CONTRACT_DRAFT_HOLD
unit.rock_raiders.granite_grinder,Granite Grinder,RockRaiders,Unit,Anti-heavy drill walker,Medium,OFFICIAL-ADAPTED,4940,A tall two-legged drilling machine balanced around a long central tool.,bipedal planted legs;long forward drill boom;high open operator cage,FACTION_CONTRACT_DRAFT_HOLD
unit.rock_raiders.chrome_crusher,Chrome Crusher,RockRaiders,Unit,Heavy siege,Large,OFFICIAL-ADAPTED,4970,A long heavy mining vehicle with four huge wheels and a chrome drill projecting beyond the chassis.,four individually readable huge wheels;long front chrome drill;raised work-light and cargo machinery,FACTION_CONTRACT_DRAFT_HOLD
unit.rock_raiders.tunnel_transport,Tunnel Transport,RockRaiders,Unit,Heavy air transport,Huge,OFFICIAL-ADAPTED,4980,A broad industrial airlifter suspended between two giant propeller pods and a visible cargo cradle.,twin oversized propeller pods;open underslung cargo frame;wide load-bearing crossbeam,FACTION_CONTRACT_DRAFT_HOLD
building.rock_raiders.hq,Rock Raiders HQ,RockRaiders,Infrastructure,Command / expansion,Huge,OFFICIAL-ADAPTED,4990,"An open modular underground worksite organized around a command tower, crane and processing machinery.",uneven open worksite skyline;command-and-light tower;crane and material-handling bay,FACTION_CONTRACT_DRAFT_HOLD
building.rock_raiders.ore_processing_plant,Ore Processing Plant,RockRaiders,Infrastructure,Ore processing,Large,COMPOSITE-ADAPTATION,4990,A low industrial receiving line that visibly feeds rock into a crushing and sorting stack.,wide ore intake hopper;stepped crusher machinery;outbound sorting conveyor,FACTION_CONTRACT_DRAFT_HOLD
